source_file,segment,condition,n_rpeaks,n_intervals,n_artifacts,n_interpolated,n_unresolved,artifact_percent,duration_s,raw_sd,filtered_sd,baseline_slope_per_s,near_saturation_fraction,sample_dropout_fraction,mean_nni_ms,sdnn_ms,rmssd_ms,pnn50_percent
0727 chen_try.vhdr,task,task,547,546,21,2,19,3.8461538461538463,436.04,189.2319515154862,78.1926319664611,-1.302749834937121,2.2933675809558755e-06,9.402828646061477e-05,798.438330170778,43.38977437600115,42.0472303695386,25.285171102661597
0727 chen_try.vhdr,pre_rest_01_EO,pre_rest_EO,149,148,5,1,4,3.3783783783783785,122.7,174.61966559153413,69.18094524880384,-4.414102280998132,8.149959250203749e-06,0.00019560061614194084,821.3715277777778,49.98547853909613,36.74286953326402,18.88111888111888
0727 chen_try.vhdr,pre_rest_02_EC,pre_rest_EC,151,150,0,0,0,0.0,118.26,142.48460331152012,63.47372122340248,-3.6624144063509645,1.691188905800778e-05,0.00017757633668473435,782.18,46.583845170536144,34.744127020492364,12.751677852348994
0727 chen_try.vhdr,pre_rest_03_EO,pre_rest_EO,166,165,0,0,0,0.0,129.36,144.60692748874854,65.57410145283204,-3.2625344034804207,1.5460729746444033e-05,0.00013914764338005087,777.030303030303,47.032218360736536,28.44442591886253,8.536585365853659
0727 chen_try.vhdr,pre_rest_04_EC,pre_rest_EC,162,161,0,0,0,0.0,125.66,114.90613239019382,62.57875909657867,-2.5606981596405554,1.5915963711602737e-05,0.00019895112964451412,773.0807453416149,59.98947565565975,37.87479372881125,16.875
0727 chen_try.vhdr,pre_rest_05_EO,pre_rest_EO,127,126,0,0,0,0.0,101.14,103.51324088222708,58.30944807345375,-2.87045276473453,9.887284951552304e-06,0.00029662148132767775,794.2619047619048,40.83786058479138,33.357098195136814,10.4
0727 chen_try.vhdr,pre_rest_06_EC,pre_rest_EC,156,155,0,0,0,0.0,125.88,89.33027315724388,59.74786408818769,-1.7590238046863693,7.944073721004132e-06,0.00024626824172419546,804.7548387096774,54.24826790406031,39.92492955535426,18.83116883116883
0727 chen_try.vhdr,post_rest_01_EO,post_rest_EO,154,153,0,0,0,0.0,122.48,83.58375497383598,66.67959913028929,-1.2490174673145131,8.164598301763554e-06,0.0004980445627413679,789.9869281045752,45.01680781548279,33.49096500314832,11.18421052631579
0727 chen_try.vhdr,post_rest_02_EC,post_rest_EC,155,154,0,0,0,0.0,121.42,83.99739429530622,64.01511131121138,-1.24219703285805,8.23587547356284e-06,0.00037885339197324966,780.1818181818181,45.948458556641825,38.708395333325896,15.032679738562091
0727 chen_try.vhdr,post_rest_03_EO,post_rest_EO,152,151,0,0,0,0.0,120.86,74.06605966823759,67.85621838267093,-0.28894888074783437,8.274036074797286e-06,0.00028131955419124767,791.6754966887418,40.99212114034829,36.78342017811829,20.666666666666668
0727 chen_try.vhdr,post_rest_04_EC,post_rest_EC,153,152,1,1,0,0.6578947368421052,120.72,85.58501103006766,64.2276065424495,-1.496175505991218,8.28363154406892e-06,0.00034791540685393354,784.8618421052631,31.575212287825742,34.25575796333201,15.2317880794702
0727 chen_try.vhdr,post_rest_05_EO,post_rest_EO,152,151,2,0,2,1.3245033112582782,120.58,74.76664199162073,64.79667920091504,-0.7754866712494799,8.29324929507381e-06,0.000323439404871495,786.2818791946308,43.86667154139282,37.50144141373913,16.89189189189189
0727 chen_try.vhdr,post_rest_06_EC,post_rest_EC,159,158,0,0,0,0.0,124.3,79.56982160700865,63.1677919736143,-1.166881086288072,1.6090104585679808e-05,0.00033789491468153406,776.8860759493671,30.532633619030314,33.702236785281926,15.286624203821656
