source_file,segment,condition,time_s,rri_ms,artifact,artifact_reason,interpolated,corrected_nni_ms
0727 chen_try.vhdr,task,task,64.225,814.0,False,,False,814.0
0727 chen_try.vhdr,task,task,64.979,754.0,False,,False,754.0
0727 chen_try.vhdr,task,task,65.791,812.0,False,,False,812.0
0727 chen_try.vhdr,task,task,66.624,833.0,False,,False,833.0
0727 chen_try.vhdr,task,task,67.395,771.0,False,,False,771.0
0727 chen_try.vhdr,task,task,68.154,759.0,False,,False,759.0
0727 chen_try.vhdr,task,task,68.943,789.0,False,,False,789.0
0727 chen_try.vhdr,task,task,69.763,820.0,False,,False,820.0
0727 chen_try.vhdr,task,task,70.553,790.0,False,,False,790.0
0727 chen_try.vhdr,task,task,71.314,761.0,False,,False,761.0
0727 chen_try.vhdr,task,task,72.076,762.0,False,,False,762.0
0727 chen_try.vhdr,task,task,72.826,750.0,False,,False,750.0
0727 chen_try.vhdr,task,task,73.528,702.0,False,,False,702.0
0727 chen_try.vhdr,task,task,74.271,743.0,False,,False,743.0
0727 chen_try.vhdr,task,task,75.044,773.0,False,,False,773.0
0727 chen_try.vhdr,task,task,75.891,847.0,False,,False,847.0
0727 chen_try.vhdr,task,task,76.682,791.0,False,,False,791.0
0727 chen_try.vhdr,task,task,77.516,834.0,False,,False,834.0
0727 chen_try.vhdr,task,task,78.392,876.0,False,,False,876.0
0727 chen_try.vhdr,task,task,79.215,823.0,False,,False,823.0
0727 chen_try.vhdr,task,task,79.987,772.0,False,,False,772.0
0727 chen_try.vhdr,task,task,80.783,796.0,False,,False,796.0
0727 chen_try.vhdr,task,task,81.589,806.0,False,,False,806.0
0727 chen_try.vhdr,task,task,82.336,747.0,False,,False,747.0
0727 chen_try.vhdr,task,task,83.111,775.0,False,,False,775.0
0727 chen_try.vhdr,task,task,83.891,780.0,False,,False,780.0
0727 chen_try.vhdr,task,task,84.651,760.0,False,,False,760.0
0727 chen_try.vhdr,task,task,85.377,726.0,False,,False,726.0
0727 chen_try.vhdr,task,task,86.152,775.0,False,,False,775.0
0727 chen_try.vhdr,task,task,86.958,806.0,False,,False,806.0
0727 chen_try.vhdr,task,task,87.823,865.0,False,,False,865.0
0727 chen_try.vhdr,task,task,88.587,764.0,False,,False,764.0
0727 chen_try.vhdr,task,task,89.396,809.0,False,,False,809.0
0727 chen_try.vhdr,task,task,90.225,829.0,False,,False,829.0
0727 chen_try.vhdr,task,task,90.998,773.0,False,,False,773.0
0727 chen_try.vhdr,task,task,91.816,818.0,False,,False,818.0
0727 chen_try.vhdr,task,task,92.628,812.0,False,,False,812.0
0727 chen_try.vhdr,task,task,93.376,748.0,False,,False,748.0
0727 chen_try.vhdr,task,task,94.115,739.0,False,,False,739.0
0727 chen_try.vhdr,task,task,94.892,777.0,False,,False,777.0
0727 chen_try.vhdr,task,task,95.715,823.0,False,,False,823.0
0727 chen_try.vhdr,task,task,96.528,813.0,False,,False,813.0
0727 chen_try.vhdr,task,task,97.283,755.0,False,,False,755.0
0727 chen_try.vhdr,task,task,98.092,809.0,False,,False,809.0
0727 chen_try.vhdr,task,task,98.917,825.0,False,,False,825.0
0727 chen_try.vhdr,task,task,99.691,774.0,False,,False,774.0
0727 chen_try.vhdr,task,task,100.46,769.0,False,,False,769.0
0727 chen_try.vhdr,task,task,101.261,801.0,False,,False,801.0
0727 chen_try.vhdr,task,task,102.063,802.0,False,,False,802.0
0727 chen_try.vhdr,task,task,102.823,760.0,False,,False,760.0
0727 chen_try.vhdr,task,task,103.68,857.0,False,,False,857.0
0727 chen_try.vhdr,task,task,104.45,770.0,True,local_change,False,
0727 chen_try.vhdr,task,task,105.87,1420.0,True,global_mad;local_change,False,
0727 chen_try.vhdr,task,task,106.617,747.0,True,local_change,False,
0727 chen_try.vhdr,task,task,107.41,793.0,False,,False,793.0
0727 chen_try.vhdr,task,task,108.241,831.0,False,,False,831.0
0727 chen_try.vhdr,task,task,109.039,798.0,False,,False,798.0
0727 chen_try.vhdr,task,task,109.797,758.0,False,,False,758.0
0727 chen_try.vhdr,task,task,110.554,757.0,False,,False,757.0
